dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy,stratification
22,347,0.3287286940167819,0.15383554424196355,9.080366415223512,0.9806271705030772,2.439716363354178,conductor_cond_1-100
23,289,0.34117398772397756,0.16018399513181675,9.45278413354982,0.9881452499737273,2.393705201164687,conductor_cond_1-100
24,337,0.3166090207858716,0.15441342778665104,8.76042239469361,0.9938908755281467,2.467676021919119,conductor_cond_1-100
25,245,0.3336803447507162,0.16144356582923766,9.240719375919017,1.0,2.4043174890773233,conductor_cond_1-100
26,262,0.3329355735199634,0.16164391372743658,9.15154831477011,1.0,2.39919302126449,conductor_cond_1-100
27,218,0.33571992604780027,0.1743049290746779,9.38805664260455,1.0,2.3675713915151473,conductor_cond_1-100
28,213,0.3621925120554697,0.15963696554028936,9.94700240399824,1.0,2.3321788659770015,conductor_cond_1-100
29,177,0.3635009443064635,0.1740028302546267,9.992786313225118,1.0,2.2778842804278048,conductor_cond_1-100
30,209,0.3339834511902097,0.1676976268038554,9.256954531942927,1.0,2.3773692563456446,conductor_cond_1-100
31,132,0.37700096255667515,0.17110214413873315,10.383258575657326,1.0,2.2637407982151068,conductor_cond_1-100
32,173,0.36240874897706304,0.16943445449695183,10.000985060846762,1.0,2.313059039924452,conductor_cond_1-100
33,167,0.38155143842959516,0.15572054008884645,10.403871298396027,1.0,2.2863852421481474,conductor_cond_1-100
34,144,0.37866120930099534,0.17689206128069324,10.41858526971879,1.0,2.2345180675036707,conductor_cond_1-100
35,131,0.37948604922442625,0.16683329776155487,10.35942055672243,1.0,2.267931875535406,conductor_cond_1-100
36,133,0.3784693828072478,0.16644401947780516,10.345133152704957,1.0,2.265570833107244,conductor_cond_1-100
37,128,0.42163433516733995,0.1736886532939196,11.450036398933392,1.0,2.1272875841148395,conductor_cond_1-100
38,118,0.3999234947967161,0.19452022885169812,11.17219140895342,1.0,2.1617400871494294,conductor_cond_1-100
39,101,0.4335203550019378,0.19401200308542596,11.939281224134088,1.0,2.0612577348732817,conductor_cond_1-100
40,106,0.4056601804786924,0.19467139791624338,11.206867788977668,1.0,2.1128809027753603,conductor_cond_1-100
41,101,0.4038288098862112,0.2017996678767249,11.111533131131846,1.0,2.0824290268044168,conductor_cond_1-100
42,101,0.39896139284656085,0.18372121625327306,10.897639878111292,1.0,2.1402389651984195,conductor_cond_1-100
43,112,0.41515953499603486,0.17084952695249483,11.24115429539913,1.0,2.133506720906114,conductor_cond_1-100
44,102,0.4237216699294982,0.17162672061070422,11.428068250871366,1.0,2.0982009791631433,conductor_cond_1-100
45,92,0.4006563986747288,0.1842081149571054,10.970898565149877,1.0,2.145643438394057,conductor_cond_1-100
46,75,0.42226989427012623,0.18200869327252675,11.401865620119711,1.0,2.0536249870595924,conductor_cond_1-100
47,61,0.4361787302308097,0.18189148090418433,11.715463179826777,1.0,2.0121187785822565,conductor_cond_1-100
48,83,0.44231896293147827,0.15714486711383777,11.782235853682373,1.0,2.0776692767717084,conductor_cond_1-100
49,58,0.3872926647006718,0.20903532440676226,10.810422283299967,1.0,2.1058836384626263,conductor_cond_1-100
50,74,0.4042021051719602,0.20118502266571334,11.175202157235283,1.0,2.0891637607129336,conductor_cond_1-100
51,72,0.4577123088424069,0.18204880561270637,12.364595480989113,1.0,1.989743316699898,conductor_cond_1-100
52,67,0.46983875288322224,0.1646404236483698,12.486975109234695,1.0,1.9744611929983917,conductor_cond_1-100
53,65,0.4494666913421298,0.1875636942585576,12.145437281912873,1.0,1.9793617587706804,conductor_cond_1-100
54,63,0.4550752498670882,0.17263225439312502,12.178954994269546,1.0,1.997353194056549,conductor_cond_1-100
55,63,0.4790646239744715,0.18281741434893936,12.812740151676689,1.0,1.9158915694814374,conductor_cond_1-100
56,65,0.4269691684406071,0.17428521787066592,11.587885405713624,1.0,2.101714403267995,conductor_cond_1-100
57,60,0.4529267853173608,0.15560752668138833,12.030846150180608,1.0,2.0431139647345598,conductor_cond_1-100
58,53,0.457794929675677,0.17522531933629068,12.295435248309172,1.0,1.9921455755058124,conductor_cond_1-100
60,65,0.4727850175152772,0.17010369035618314,12.59695596078907,1.0,1.9484652304461647,conductor_cond_1-100
61,50,0.4698070789899785,0.16307306012986417,12.483782398253027,1.0,1.9675706440412002,conductor_cond_1-100
62,55,0.4601551995350589,0.18066202728708908,12.364137635513433,1.0,1.9722993922794383,conductor_cond_1-100
63,52,0.4434127237640318,0.19576339782055124,12.05303096557828,1.0,1.9711852398907632,conductor_cond_1-100
65,59,0.46623399394678045,0.1553819562125387,12.353921141341669,1.0,1.9994603672756524,conductor_cond_1-100
1,17198,0.0042675703156445045,0.021834912788083298,1.1383517196380222,0.1138351719638022,2.300391058667175,primes_10
2,8026,0.01784526922357575,0.03273226367054004,1.2266818446247219,0.2352205071154473,2.2964292966476414,primes_10
3,4305,0.0109853058919562,0.03169618988468293,1.2068816678989065,0.3366084014779821,2.2975875411293183,primes_10
4,3133,0.017368137081067485,0.03163822456636809,1.203151740176193,0.44749298268063714,2.296787877083128,primes_10
5,2093,0.02421832125294696,0.04079944569108041,1.3383823217487871,0.5525056049267716,2.292870972242562,primes_10
6,1812,0.013014245906659672,0.0363574534116852,1.2333701250149682,0.6439986500887833,2.2959482296183795,primes_10
7,1201,0.009225835939449433,0.03961895867227624,1.2390882651793087,0.7407535826226427,2.295154193601167,primes_10
8,1291,0.012291724918514234,0.04854415483126391,1.29793464010695,0.8373790690420014,2.2914267733856963,primes_10
9,923,0.021517906854707638,0.05487942643275274,1.352674371264121,0.9289004788166932,2.2871413574869632,primes_10
10,892,0.0043859987264390395,0.05106163801983742,1.2845783168781293,1.0,2.2908465663995665,primes_10
11,683,0.014552752610081912,0.06222256485768921,1.3356287211775886,1.0,2.28447280368691,primes_10
12,732,0.004984988985848532,0.05439518438355162,1.2802873444019252,1.0,2.288889929852429,primes_10
13,575,0.012352070287072647,0.07100605541937507,1.3802506320552932,1.0,2.2791563970061524,primes_10
14,597,0.0038000091222824346,0.059172104388800134,1.3472385136722347,1.0,2.286626204125464,primes_10
15,512,-5.491980375640691e-05,0.06191879689897576,1.3529076451103057,1.0,2.285173107553918,primes_10
16,529,-0.003807524323795176,0.07019922735435899,1.4403500966392249,1.0,2.280350401545516,primes_10
17,421,0.0037512383409892412,0.08406408838660223,1.5050267952678005,1.0,2.2706016917859473,primes_10
18,475,-0.011156972614176497,0.07402467081402968,1.3776389773537634,1.0,2.27711123934844,primes_10
19,350,-0.0023789600787763776,0.08606358411442637,1.419157712675461,1.0,2.268791075008213,primes_10
20,386,-0.01638924209298206,0.08033789570728109,1.4590602713049339,1.0,2.2720721789262948,primes_10
21,306,0.2911742465868429,0.1342433382346787,3.7656957996760383,1.0,1.9776310581238914,primes_10
22,347,0.2829603088720357,0.11883077727526674,3.6459889894746658,1.0,2.0034592744427853,primes_10
23,289,0.3000752625396321,0.14348635303447563,3.857759033066209,1.0,1.9532816906707438,primes_10
24,337,0.28134330171624383,0.11684039026294828,3.619740713370885,1.0,2.006822274119538,primes_10
25,245,0.2859633744715078,0.1358180309589422,3.702368757533841,1.0,1.979702542070962,primes_10
26,262,0.30411753109789286,0.11923441913927393,3.820678071328537,1.0,1.9697802586761652,primes_10
27,218,0.3056057506937617,0.15650751393968595,3.970578778837309,1.0,1.9335669943304254,primes_10
28,213,0.2985198833923226,0.12611070041651232,3.8160566255623154,1.0,1.9766973709115903,primes_10
29,177,0.29548976465271803,0.14545385666216237,3.7936416724637327,1.0,1.9477357877261503,primes_10
30,209,0.2758350500905013,0.12400393656296771,3.590848708407413,1.0,2.0075920924927995,primes_10
31,132,0.3141431329978622,0.14186089475219227,3.991501057401642,1.0,1.937195452597894,primes_10
32,173,0.2914815728290006,0.1539334958778039,3.8335983639262743,1.0,1.9564764928316274,primes_10
33,167,0.347811203973685,0.15023230982099492,4.31040150692302,1.0,1.876692971184902,primes_10
34,144,0.32456473665487945,0.16414352317835784,4.131245169444934,1.0,1.890804289440764,primes_10
35,131,0.3207162780322517,0.12914214324259463,4.029741873937122,1.0,1.9441992421610732,primes_10
36,133,0.3170052530090353,0.1490951095543352,3.979761762331308,1.0,1.912649293984835,primes_10
37,128,0.36514691701364976,0.16868537285728716,4.531051023051887,1.0,1.8311942236454275,primes_10
38,118,0.3359053828276001,0.20306511888104828,4.426298418482956,1.0,1.8450541401545222,primes_10
39,101,0.3539897925967565,0.20008099779721963,4.557411858895876,1.0,1.8142209712860866,primes_10
40,106,0.3215435904032463,0.19162271574523515,4.222604547399831,1.0,1.8650511514259958,primes_10
41,101,0.34980977599522706,0.18628596591465585,4.420481056181913,1.0,1.8159759646881302,primes_10
42,101,0.31285682333729903,0.13886920926188873,3.9525044636423656,1.0,1.9348486236437177,primes_10
