label,dim,level,analytic_conductor,mean_corr,rank_ratio,top1_frac,spectral_entropy,cond_number
69.2.a.b,2,69,0.5509677739468346,-0.001857229496811299,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
70.2.a.a,1,70,0.5589528141489627,-0.004885586208399396,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
71.2.a.a,3,71,0.5669378543510907,-0.0017468858524223455,0.9999999999999997,0.9999999999999994,5.551115123125782e-16,inf
71.2.a.b,3,71,0.5669378543510907,-0.003585782408758248,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
72.2.a.a,1,72,0.5749228945532188,-0.003823162075683591,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
73.2.a.a,1,73,0.5829079347553469,-0.0010725711761908241,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
73.2.a.b,2,73,0.5829079347553469,-0.0038802307285203115,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
73.2.a.c,2,73,0.5829079347553469,0.005852799072262356,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
74.2.a.a,2,74,0.5908929749574748,-0.006481076729916426,0.9999999999999999,0.9999999999999998,2.220446049250313e-16,inf
74.2.a.b,2,74,0.5908929749574748,-0.004989220653285574,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
75.2.a.a,1,75,0.5988780151596029,0.0031366219472725885,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
75.2.a.b,1,75,0.5988780151596029,0.0003138217594391797,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
75.2.a.c,1,75,0.5988780151596029,-0.002420724314822184,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
76.2.a.a,1,76,0.6068630553617309,-0.0036804989448053415,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
77.2.a.a,1,77,0.614848095563859,-0.009107440785897574,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
77.2.a.b,1,77,0.614848095563859,-0.007341676769433523,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
77.2.a.c,1,77,0.614848095563859,-0.005604164272815063,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
77.2.a.d,2,77,0.614848095563859,-0.010179486244052773,0.9999999999999997,0.9999999999999994,5.551115123125782e-16,inf
78.2.a.a,1,78,0.622833135765987,-0.003175940408695484,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
79.2.a.a,1,79,0.6308181759681151,-0.007371103435793985,1.0,1.0,-0.0,inf
79.2.a.b,5,79,0.6308181759681151,-0.0002507980007515938,1.0,0.9999999999999996,4.440892098500625e-16,inf
80.2.a.a,1,80,0.638803216170243,-0.005989191099886866,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
80.2.a.b,1,80,0.638803216170243,-0.004911026463763489,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
81.2.a.a,2,81,0.6467882563723711,-0.003270430507310761,0.9999999999999999,0.9999999999999998,2.220446049250313e-16,inf
82.2.a.a,1,82,0.6547732965744991,-0.015298971065834428,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
82.2.a.b,2,82,0.6547732965744991,0.01700937250639678,1.0,0.9999999999999998,2.220446049250313e-16,inf
83.2.a.a,1,83,0.6627583367766272,-0.007060352002998903,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
83.2.a.b,6,83,0.6627583367766272,-0.0131502312973383,0.9999999999999998,0.9999999999999996,4.440892098500625e-16,inf
84.2.a.a,1,84,0.6707433769787552,-0.009513705002515716,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
84.2.a.b,1,84,0.6707433769787552,0.0022443258601515925,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
85.2.a.a,1,85,0.6787284171808833,0.011497054852849808,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
85.2.a.b,2,85,0.6787284171808833,-0.00030703024466258204,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
85.2.a.c,2,85,0.6787284171808833,-0.0036386410468802364,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
86.2.a.a,2,86,0.6867134573830113,-0.005301144213686652,1.0,0.9999999999999999,1.1102230246251564e-16,inf
86.2.a.b,2,86,0.6867134573830113,-0.008105405581402299,1.0,0.9999999999999998,2.220446049250313e-16,inf
87.2.a.a,2,87,0.6946984975851394,-0.0022461868962334016,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
87.2.a.b,3,87,0.6946984975851394,-0.006702568092877721,1.0,0.9999999999999998,2.220446049250313e-16,inf
88.2.a.a,1,88,0.7026835377872673,-0.007745450830364794,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
88.2.a.b,2,88,0.7026835377872673,0.008032854972547158,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
89.2.a.a,1,89,0.7106685779893954,-0.0030807999829133305,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
89.2.a.b,1,89,0.7106685779893954,-0.006080074250534748,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
89.2.a.c,5,89,0.7106685779893954,-0.005284924389987888,0.9999999999999998,0.9999999999999996,4.440892098500625e-16,inf
90.2.a.a,1,90,0.7186536181915234,-0.003299947473499867,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
90.2.a.b,1,90,0.7186536181915234,-0.0014659461916471696,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
